DXi
20
12
12.5
8.5
14
15.5
17
14
16
10
19.5
19
9.5
14.5
15
14.5
9
13
15.5
11.5
17
19
20
11.5
15.5
15
15.5
14.5
19
13
16
18.5
10
13.5
13.5
15
9.5
24
8.5
13
13
15.5
18
19
14
16
14.5
24.5
20
8
