l_0.5[mm],l_0.05[mm],l_0.02[mm]
21.50,22.10,22.08
22.00,22.20,22.18
22.50,22.40,22.08
22.50,22.20,22.16
22.50,21.95,22.60
22.50,22.20,22.20
21.00,22.60,22.20
21.50,22.20,22.00
